Particle swarm optimization, (Y. Li et al., 2018)
probably tree + Markov chain and Monte Carlo simulation methods,(Farhadi et al., 2022)
Qualitative research, (Gallear et al., 2022)
Qualitative research, (Santos et al., 2019)
Qualitative research, (Brewer et al., 2019)
Qualitative research, (Badorf et al., 2019)
qualitative research, (Bolander et al., 2018)
qualitative research, (Anuchitchanchai et al., 2018)
qualitative research ,(Woschank et al., 2022)
Reference Task Model + Business Process Management, (Lima et al., 2022)
Robust mixed-integer linear programming models, (Feng et al., 2022)
Simulation and Machine learning , (Cavalcante et al., 2019)
stochastic dynamic programming, (Basu et al., 2019)
stochastic programming, (Mateo-Fornés et al.),
stochastic programming model, (S. Rezaei et al., 2020)
strategy analysis+qualitative research, (Cho et al., 2021)
Supplier selection and firm performance? Not sure relevant, (Famiyeh & Kwarteng, 2018)
Supplier selection contract evaluation? not sure relevant, (Eckersley et al., 2023)
Supplier selection enforcement process? Seems not relevant (Giuffrida & Rovigatti, 2022),
Supplier selection indicator analysis? Not sure relevant? step-wise weight assessment ratio analysis (SWARA) and weighted aggregated sum product assessment (WASPAS), (Singh & Modgil, 2020)
Supplier Selection Strategy assessment? Not sure relevant, (Boone et al., 2020)
Supply chain evaluation not supplier evaluation, (Dash et al., 2023)
supply chain evaluation? Not sure relevant, (Dursun & Gumus, 2020)
supply chain performance evaluation? Fuzzy based knowledge based decision making system, (Khan et al., 2019)
supply disruption influence on supplier selection?  qualitative research , (Polyviou et al., 2022)
Swarm intelligence (Evolutionary algorithm), (J. Li et al., 2018)
text mining, (Kronemeyer et al., 2022)
topology design? not sure relevant (Kurpjuweit et al., 2021),
Trading-off innovation novelty and information protection? Not sure relevant, (Yan et al., 2020)
Vague abstract? Not sure what method, (Pearn et al., 2019)
